Feature,Importance,Std,Percent_Increase
G_mean,1.6723530258052033,1.0887584832360226,5.551530404175018
PTS_top3,0.380593004039729,0.257962300039924,1.2634136458870917
TRB_sum,0.34963620957676983,0.31234482683540266,1.1606497060818768
PTS_sum,0.3386760927667763,0.7942266163927248,1.1242665855534268
G_std,0.2507591262701195,0.6764914989079662,0.83241809123565
STL_sum,0.25034912660312614,0.2814212669027683,0.8310570594547441
AST_sum,0.2318653123127715,0.008577211828856715,0.7696983299074212
FT%_wt,0.026164781412591747,0.12580517493923857,0.08685640967502027
AST_top3,-0.01112388633191704,0.48958439404033316,-0.036926768589718564
eFG%_wt,-0.33962255028524996,0.47356298333971564,-1.1274084387441052
MP_sum,-0.42339838068518415,0.5562982188004572,-1.4055100491240762
TOV_sum,-0.4829203965659789,0.536109421987528,-1.6030988810161473
3P%_wt,-0.5859441351516305,0.12993234937296957,-1.9450957012357577
FG%_wt,-0.7709259520588271,0.6513012428817205,-2.5591599358404054
BLK_sum,-0.9233666942748068,0.27870981009494156,-3.0652010660255535
PF_sum,-1.0768320954508255,0.25724213821476416,-3.574643646312918
