dropout_rate,learning_rate,batch_size,weight_decay,spearman,kendall_tau,mae,best_val_loss,epochs_trained
0.2,0.0005,8,0.0001,0.36201971146978995,0.2487637885127425,4.0,23.036800702412922,37
0.3,0.001,8,0.0001,0.34887873160977,0.23278813236972232,4.08,25.892828941345215,15
0.3,0.0005,8,0.0005,0.33506641908298807,0.2286040319513123,4.0,22.48213815689087,28
0.2,0.001,8,0.0005,0.28695900585630624,0.19893495625713198,4.026666666666666,26.618476231892902,17
0.3,0.001,16,0.0001,0.27043279531495495,0.19665271966527195,4.213333333333333,30.328257878621418,25
0.4,0.001,8,0.0005,0.2698900157120411,0.17611259033853177,4.1866666666666665,27.508495807647705,16
0.4,0.0005,16,0.0001,0.26560491358377375,0.1879041460631419,4.293333333333333,34.03113873799642,37
0.2,0.001,16,0.0001,0.255320668475932,0.17687333586915177,4.16,25.897694905598957,36
0.3,0.0005,8,0.0001,0.24610769890015707,0.16432103461392164,4.266666666666667,29.3011732896169,30
0.4,0.0005,8,0.0001,0.23947293243822307,0.1783948269303918,4.08,23.950517495473225,26
0.4,0.001,16,0.0001,0.2138980145693472,0.13693419551160135,4.453333333333333,22.766817092895508,17
0.2,0.001,16,0.0005,0.20989858591629765,0.14454165081780143,4.346666666666667,28.550774892171223,32
0.4,0.001,16,0.0005,0.20754177974575055,0.14568276911373146,4.32,27.208250681559246,30
0.2,0.0005,8,0.0005,0.20025710612769604,0.13389121338912136,4.533333333333333,20.987610181172688,33
0.2,0.0005,16,0.0005,0.1991144122268247,0.13655382274629138,4.56,35.73855717976888,28
0.3,0.001,16,0.0005,0.19497214683616626,0.12286040319513124,4.48,20.946536382039387,25
0.4,0.0005,8,0.0005,0.18447364662191112,0.12476226702168125,4.48,26.869638125101726,30
0.2,0.0005,16,0.0001,0.16697614626481927,0.10460251046025106,4.72,37.56766255696615,36
0.4,0.0005,16,0.0005,0.1641622625339237,0.11715481171548117,4.453333333333333,36.78671836853027,39
0.3,0.001,8,0.0005,0.1631195543493786,0.11182959300114112,4.506666666666667,26.778162956237793,19
0.2,0.001,8,0.0001,0.15540637051849734,0.10460251046025106,4.533333333333333,29.247722546259563,25
0.3,0.0005,16,0.0001,0.14390801314097984,0.099277291745911,4.693333333333333,25.038187344868977,44
0.4,0.001,8,0.0001,0.11169832881016994,0.0791175351844808,4.88,24.55976978937785,22
0.3,0.0005,16,0.0005,0.08134552206827594,0.06047926968429061,4.826666666666667,23.015217781066895,44
